2021-02-16 13:35:36.710589
{'religious-groups-in-schools=y'} | Support Value=0.6252873563218391
{'physician-fee-freeze=y'} | Support Value=0.4068965517241379
{'education-spending=n', 'el-salvador-aid=n'} | Support Value=0.4068965517241379
{'superfund-right-to-sue=y', 'crime=y'} | Support Value=0.4068965517241379
{'physician-fee-freeze=n', 'anti-satellite-test-ban=y', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.4068965517241379
{'crime=y', 'mx-missile=n'} | Support Value=0.4045977011494253
{'superfund-right-to-sue=n', 'aid-to-nicaraguan-contras=y'} | Support Value=0.4045977011494253
{'physician-fee-freeze=n', 'superfund-right-to-sue=n', 'Class Name=democrat'} | Support Value=0.4045977011494253
{'adoption-of-the-budget-resolution=y', 'anti-satellite-test-ban=y', 'aid-to-nicaraguan-contras=y', 'Class Name=democrat'} | Support Value=0.4045977011494253
{'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'anti-satellite-test-ban=y', 'el-salvador-aid=n'} | Support Value=0.40229885057471265
{'aid-to-nicaraguan-contras=y', 'mx-missile=y', 'el-salvador-aid=n'} | Support Value=0.40229885057471265
{'anti-satellite-test-ban=y', 'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.4
{'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'mx-missile=y'} | Support Value=0.4
{'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y', 'anti-satellite-test-ban=y', 'aid-to-nicaraguan-contras=y'} | Support Value=0.4
{'aid-to-nicaraguan-contras=y', 'education-spending=n', 'el-salvador-aid=n'} | Support Value=0.4
{'religious-groups-in-schools=y', 'el-salvador-aid=y', 'mx-missile=n'} | Support Value=0.4
{'duty-free-exports=y'} | Support Value=0.4
{'anti-satellite-test-ban=y', 'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y', 'Class Name=democrat'} | Support Value=0.4
{'education-spending=n', 'adoption-of-the-budget-resolution=y', 'aid-to-nicaraguan-contras=y', 'Class Name=democrat'} | Support Value=0.39770114942528734
{'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'mx-missile=y', 'Class Name=democrat'} | Support Value=0.39770114942528734
{'adoption-of-the-budget-resolution=y', 'export-administration-act-south-africa=y'} | Support Value=0.39770114942528734
{'aid-to-nicaraguan-contras=y', 'anti-satellite-test-ban=y', 'mx-missile=y'} | Support Value=0.39770114942528734
{'export-administration-act-south-africa=y', 'Class Name=democrat'} | Support Value=0.39770114942528734
{'crime=y', 'handicapped-infants=n'} | Support Value=0.39770114942528734
{'education-spending=n', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.3954022988505747
{'el-salvador-aid=y', 'aid-to-nicaraguan-contras=n'} | Support Value=0.3954022988505747
{'adoption-of-the-budget-resolution=y', 'superfund-right-to-sue=n'} | Support Value=0.3954022988505747
{'education-spending=n', 'anti-satellite-test-ban=y', 'Class Name=democrat'} | Support Value=0.3954022988505747
{'export-administration-act-south-africa=y', 'anti-satellite-test-ban=y'} | Support Value=0.3954022988505747
{'el-salvador-aid=y', 'duty-free-exports=n'} | Support Value=0.3931034482758621
{'education-spending=y'} | Support Value=0.3931034482758621
{'adoption-of-the-budget-resolution=n'} | Support Value=0.3931034482758621
{'adoption-of-the-budget-resolution=y', 'mx-missile=y', 'Class Name=democrat'} | Support Value=0.3931034482758621
{'el-salvador-aid=n', 'mx-missile=y', 'Class Name=democrat'} | Support Value=0.3931034482758621
{'aid-to-nicaraguan-contras=y', 'adoption-of-the-budget-resolution=y', 'mx-missile=y'} | Support Value=0.3931034482758621
{'education-spending=n', 'mx-missile=y'} | Support Value=0.3931034482758621
{'adoption-of-the-budget-resolution=y', 'anti-satellite-test-ban=y', 'el-salvador-aid=n'} | Support Value=0.3931034482758621
{'education-spending=n', 'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y', 'Class Name=democrat'} | Support Value=0.39080459770114945
{'superfund-right-to-sue=n', 'anti-satellite-test-ban=y'} | Support Value=0.39080459770114945
{'duty-free-exports=n', 'religious-groups-in-schools=y', 'crime=y'} | Support Value=0.39080459770114945
{'crime=n'} | Support Value=0.39080459770114945
{'physician-fee-freeze=n', 'education-spending=n', 'adoption-of-the-budget-resolution=y', 'aid-to-nicaraguan-contras=y'} | Support Value=0.39080459770114945
{'education-spending=n', 'anti-satellite-test-ban=y', 'aid-to-nicaraguan-contras=y'} | Support Value=0.39080459770114945
{'superfund-right-to-sue=y', 'el-salvador-aid=y'} | Support Value=0.39080459770114945
{'religious-groups-in-schools=y', 'anti-satellite-test-ban=n'} | Support Value=0.38850574712643676
{'aid-to-nicaraguan-contras=y', 'adoption-of-the-budget-resolution=y', 'anti-satellite-test-ban=y', 'el-salvador-aid=n'} | Support Value=0.38850574712643676
{'aid-to-nicaraguan-contras=y', 'education-spending=n', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.38850574712643676
{'aid-to-nicaraguan-contras=y', 'el-salvador-aid=n', 'mx-missile=y', 'Class Name=democrat'} | Support Value=0.38620689655172413
{'physician-fee-freeze=n', 'education-spending=n', 'anti-satellite-test-ban=y'} | Support Value=0.38620689655172413
{'physician-fee-freeze=n', 'education-spending=n', 'el-salvador-aid=n'} | Support Value=0.38620689655172413
{'adoption-of-the-budget-resolution=y', 'anti-satellite-test-ban=y', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.38620689655172413
{'export-administration-act-south-africa=y', 'aid-to-nicaraguan-contras=y'} | Support Value=0.38620689655172413
{'el-salvador-aid=y', 'physician-fee-freeze=y'} | Support Value=0.38620689655172413
{'crime=y', 'physician-fee-freeze=y'} | Support Value=0.38620689655172413
{'Class Name=republican'} | Support Value=0.38620689655172413
{'el-salvador-aid=y', 'crime=y', 'mx-missile=n'} | Support Value=0.38620689655172413
{'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y', 'mx-missile=y', 'Class Name=democrat'} | Support Value=0.3839080459770115
{'anti-satellite-test-ban=y', 'mx-missile=y', 'Class Name=democrat'} | Support Value=0.3839080459770115
{'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y', 'mx-missile=y'} | Support Value=0.3839080459770115
{'superfund-right-to-sue=n', 'aid-to-nicaraguan-contras=y', 'Class Name=democrat'} | Support Value=0.3839080459770115
{'crime=n', 'Class Name=democrat'} | Support Value=0.3839080459770115
{'physician-fee-freeze=n', 'education-spending=n', 'anti-satellite-test-ban=y', 'Class Name=democrat'} | Support Value=0.3839080459770115
{'physician-fee-freeze=n', 'mx-missile=y', 'el-salvador-aid=n'} | Support Value=0.3839080459770115
{'physician-fee-freeze=n', 'education-spending=n', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.3839080459770115
{'synfuels-corporation-cutback=n', 'export-administration-act-south-africa=y'} | Support Value=0.3816091954022989
{'crime=y', 'aid-to-nicaraguan-contras=n'} | Support Value=0.3816091954022989
{'physician-fee-freeze=n', 'superfund-right-to-sue=n', 'aid-to-nicaraguan-contras=y'} | Support Value=0.3816091954022989
{'physician-fee-freeze=n', 'el-salvador-aid=n', 'mx-missile=y', 'Class Name=democrat'} | Support Value=0.3816091954022989
{'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y', 'anti-satellite-test-ban=y', 'el-salvador-aid=n'} | Support Value=0.3816091954022989
{'religious-groups-in-schools=y', 'crime=y', 'mx-missile=n'} | Support Value=0.3816091954022989
{'superfund-right-to-sue=y', 'religious-groups-in-schools=y', 'crime=y'} | Support Value=0.3816091954022989
{'synfuels-corporation-cutback=n', 'religious-groups-in-schools=y'} | Support Value=0.3816091954022989
{'physician-fee-freeze=n', 'export-administration-act-south-africa=y'} | Support Value=0.3816091954022989
{'anti-satellite-test-ban=y', 'aid-to-nicaraguan-contras=y', 'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.3816091954022989
{'religious-groups-in-schools=y', 'aid-to-nicaraguan-contras=n'} | Support Value=0.3816091954022989
{'anti-satellite-test-ban=y', 'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.3816091954022989
{'education-spending=n', 'adoption-of-the-budget-resolution=y', 'anti-satellite-test-ban=y'} | Support Value=0.3793103448275862
{'adoption-of-the-budget-resolution=y', 'superfund-right-to-sue=n', 'aid-to-nicaraguan-contras=y'} | Support Value=0.3793103448275862
{'superfund-right-to-sue=y', 'duty-free-exports=n'} | Support Value=0.3793103448275862
{'aid-to-nicaraguan-contras=y', 'adoption-of-the-budget-resolution=y', 'mx-missile=y', 'Class Name=democrat'} | Support Value=0.3793103448275862
{'synfuels-corporation-cutback=n', 'crime=y'} | Support Value=0.3793103448275862
{'physician-fee-freeze=n', 'superfund-right-to-sue=n', 'aid-to-nicaraguan-contras=y', 'Class Name=democrat'} | Support Value=0.3793103448275862
{'physician-fee-freeze=n', 'education-spending=n', 'aid-to-nicaraguan-contras=y', 'el-salvador-aid=n'} | Support Value=0.3793103448275862
{'anti-satellite-test-ban=y', 'mx-missile=y', 'el-salvador-aid=n'} | Support Value=0.37701149425287356
{'physician-fee-freeze=n', 'export-administration-act-south-africa=y', 'Class Name=democrat'} | Support Value=0.37701149425287356
{'el-salvador-aid=y', 'crime=y', 'aid-to-nicaraguan-contras=n'} | Support Value=0.37701149425287356
{'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'mx-missile=y', 'el-salvador-aid=n'} | Support Value=0.37701149425287356
{'education-spending=n', 'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.37701149425287356
{'education-spending=n', 'mx-missile=y', 'Class Name=democrat'} | Support Value=0.37701149425287356
{'anti-satellite-test-ban=y', 'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n'} | Support Value=0.37701149425287356
{'anti-satellite-test-ban=y', 'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.37701149425287356
{'education-spending=n', 'anti-satellite-test-ban=y', 'aid-to-nicaraguan-contras=y', 'Class Name=democrat'} | Support Value=0.37471264367816093
{'adoption-of-the-budget-resolution=y', 'superfund-right-to-sue=n', 'Class Name=democrat'} | Support Value=0.37471264367816093
{'physician-fee-freeze=n', 'anti-satellite-test-ban=y', 'mx-missile=y'} | Support Value=0.37471264367816093
{'crime=n', 'physician-fee-freeze=n'} | Support Value=0.37471264367816093
{'education-spending=n', 'superfund-right-to-sue=n'} | Support Value=0.37471264367816093
{'Class Name=republican', 'physician-fee-freeze=y'} | Support Value=0.37471264367816093
{'mx-missile=y', 'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.37471264367816093
{'crime=n', 'physician-fee-freeze=n', 'Class Name=democrat'} | Support Value=0.37471264367816093
{'superfund-right-to-sue=n', 'el-salvador-aid=n'} | Support Value=0.37471264367816093
{'education-spending=n', 'anti-satellite-test-ban=y', 'el-salvador-aid=n'} | Support Value=0.37471264367816093
{'mx-missile=n', 'aid-to-nicaraguan-contras=n'} | Support Value=0.3724137931034483
{'aid-to-nicaraguan-contras=y', 'anti-satellite-test-ban=y', 'mx-missile=y', 'Class Name=democrat'} | Support Value=0.3724137931034483
{'adoption-of-the-budget-resolution=y', 'physician-fee-freeze=n', 'superfund-right-to-sue=n', 'Class Name=democrat'} | Support Value=0.3724137931034483
{'physician-fee-freeze=n', 'anti-satellite-test-ban=y', 'mx-missile=y', 'Class Name=democrat'} | Support Value=0.3724137931034483
{'el-salvador-aid=y', 'anti-satellite-test-ban=n'} | Support Value=0.3724137931034483
{'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y', 'mx-missile=y'} | Support Value=0.3724137931034483
{'mx-missile=y', 'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y', 'Class Name=democrat'} | Support Value=0.3724137931034483
{'superfund-right-to-sue=y', 'el-salvador-aid=y', 'crime=y'} | Support Value=0.3724137931034483
{'duty-free-exports=n', 'mx-missile=n'} | Support Value=0.3724137931034483
{'adoption-of-the-budget-resolution=y', 'physician-fee-freeze=n', 'superfund-right-to-sue=n'} | Support Value=0.3724137931034483
{'aid-to-nicaraguan-contras=y', 'education-spending=n', 'mx-missile=y'} | Support Value=0.3724137931034483
{'duty-free-exports=n', 'el-salvador-aid=y', 'crime=y'} | Support Value=0.3724137931034483
{'religious-groups-in-schools=y', 'duty-free-exports=n', 'el-salvador-aid=y'} | Support Value=0.3701149425287356
{'adoption-of-the-budget-resolution=y', 'anti-satellite-test-ban=y', 'mx-missile=y'} | Support Value=0.3701149425287356
{'religious-groups-in-schools=y', 'el-salvador-aid=y', 'aid-to-nicaraguan-contras=n'} | Support Value=0.3701149425287356
{'education-spending=n', 'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n'} | Support Value=0.3701149425287356
{'superfund-right-to-sue=y', 'religious-groups-in-schools=y', 'el-salvador-aid=y'} | Support Value=0.367816091954023
{'duty-free-exports=y', 'Class Name=democrat'} | Support Value=0.367816091954023
{'aid-to-nicaraguan-contras=y', 'education-spending=n', 'anti-satellite-test-ban=y', 'el-salvador-aid=n'} | Support Value=0.367816091954023
{'aid-to-nicaraguan-contras=y', 'anti-satellite-test-ban=y', 'mx-missile=y', 'el-salvador-aid=n'} | Support Value=0.367816091954023
{'aid-to-nicaraguan-contras=y', 'superfund-right-to-sue=n', 'el-salvador-aid=n'} | Support Value=0.367816091954023
{'adoption-of-the-budget-resolution=y', 'mx-missile=y', 'el-salvador-aid=n'} | Support Value=0.367816091954023
{'crime=n', 'aid-to-nicaraguan-contras=y'} | Support Value=0.367816091954023
{'el-salvador-aid=y', 'crime=y', 'physician-fee-freeze=y'} | Support Value=0.367816091954023
{'religious-groups-in-schools=y', 'physician-fee-freeze=y'} | Support Value=0.367816091954023
{'superfund-right-to-sue=n', 'anti-satellite-test-ban=y', 'aid-to-nicaraguan-contras=y'} | Support Value=0.367816091954023
{'education-spending=n', 'anti-satellite-test-ban=y', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.36551724137931035
{'physician-fee-freeze=n', 'education-spending=n', 'anti-satellite-test-ban=y', 'aid-to-nicaraguan-contras=y'} | Support Value=0.36551724137931035
{'religious-groups-in-schools=y', 'crime=y', 'el-salvador-aid=y', 'mx-missile=n'} | Support Value=0.36551724137931035
{'aid-to-nicaraguan-contras=y', 'education-spending=n', 'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n'} | Support Value=0.36551724137931035
{'physician-fee-freeze=n', 'education-spending=n', 'mx-missile=y'} | Support Value=0.36551724137931035
{'crime=n', 'aid-to-nicaraguan-contras=y', 'Class Name=democrat'} | Support Value=0.36551724137931035
{'religious-groups-in-schools=y', 'education-spending=y'} | Support Value=0.36551724137931035
{'education-spending=n', 'export-administration-act-south-africa=y'} | Support Value=0.36551724137931035
{'superfund-right-to-sue=n', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.3632183908045977
{'education-spending=n', 'anti-satellite-test-ban=y', 'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'Class Name=democrat'} | Support Value=0.3632183908045977
{'education-spending=n', 'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.3632183908045977
{'physician-fee-freeze=n', 'education-spending=n', 'mx-missile=y', 'Class Name=democrat'} | Support Value=0.3632183908045977
{'education-spending=n', 'adoption-of-the-budget-resolution=y', 'anti-satellite-test-ban=y', 'Class Name=democrat'} | Support Value=0.3632183908045977
{'religious-groups-in-schools=y', 'export-administration-act-south-africa=y'} | Support Value=0.3632183908045977
{'crime=y', 'education-spending=y'} | Support Value=0.3632183908045977
{'crime=n', 'adoption-of-the-budget-resolution=y', 'Class Name=democrat'} | Support Value=0.3632183908045977
{'el-salvador-aid=y', 'mx-missile=n', 'aid-to-nicaraguan-contras=n'} | Support Value=0.3632183908045977
{'el-salvador-aid=n', 'anti-satellite-test-ban=y', 'mx-missile=y', 'Class Name=democrat'} | Support Value=0.3632183908045977
{'crime=y', 'Class Name=republican'} | Support Value=0.3632183908045977
{'aid-to-nicaraguan-contras=y', 'adoption-of-the-budget-resolution=y', 'mx-missile=y', 'el-salvador-aid=n'} | Support Value=0.3632183908045977
{'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'anti-satellite-test-ban=y', 'mx-missile=y'} | Support Value=0.3632183908045977
{'adoption-of-the-budget-resolution=n', 'crime=y'} | Support Value=0.3632183908045977
{'physician-fee-freeze=n', 'superfund-right-to-sue=n', 'anti-satellite-test-ban=y'} | Support Value=0.3632183908045977
{'crime=n', 'adoption-of-the-budget-resolution=y'} | Support Value=0.3632183908045977
{'anti-satellite-test-ban=y', 'mx-missile=y', 'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'Class Name=democrat'} | Support Value=0.36091954022988504
{'el-salvador-aid=y', 'handicapped-infants=n'} | Support Value=0.36091954022988504
{'crime=y', 'anti-satellite-test-ban=n'} | Support Value=0.36091954022988504
{'education-spending=n', 'mx-missile=y', 'el-salvador-aid=n'} | Support Value=0.36091954022988504
{'el-salvador-aid=y', 'Class Name=republican'} | Support Value=0.36091954022988504
{'physician-fee-freeze=n', 'superfund-right-to-sue=n', 'el-salvador-aid=n'} | Support Value=0.36091954022988504
{'superfund-right-to-sue=n', 'anti-satellite-test-ban=y', 'Class Name=democrat'} | Support Value=0.36091954022988504
{'adoption-of-the-budget-resolution=y', 'superfund-right-to-sue=n', 'aid-to-nicaraguan-contras=y', 'Class Name=democrat'} | Support Value=0.36091954022988504
