2021-02-16 13:35:36.712583
{'physician-fee-freeze=n'} --> {'Class Name=democrat'} | Confidence: 0.9919028340080972 | Consequent Support: 0.6137931034482759 | Support: 0.5632183908045977 | Lift: 1.6160214711367875
{'physician-fee-freeze=n', 'el-salvador-aid=n'} --> {'aid-to-nicaraguan-contras=y'} | Confidence: 0.9846153846153846 | Consequent Support: 0.5563218390804597 | Support: 0.4413793103448276 | Lift: 1.7698664971392244
{'el-salvador-aid=n'} --> {'physician-fee-freeze=n', 'aid-to-nicaraguan-contras=y'} | Confidence: 0.9230769230769231 | Consequent Support: 0.4850574712643678 | Support: 0.4413793103448276 | Lift: 1.9030258840685381
{'mx-missile=y'} --> {'aid-to-nicaraguan-contras=y'} | Confidence: 0.927536231884058 | Consequent Support: 0.5563218390804597 | Support: 0.4413793103448276 | Lift: 1.6672655407833274
{'education-spending=n', 'adoption-of-the-budget-resolution=y'} --> {'Class Name=democrat'} | Confidence: 0.9552238805970149 | Consequent Support: 0.6137931034482759 | Support: 0.4413793103448276 | Lift: 1.556263625691766
{'education-spending=n', 'Class Name=democrat'} --> {'adoption-of-the-budget-resolution=y'} | Confidence: 0.9014084507042254 | Consequent Support: 0.5816091954022988 | Support: 0.4413793103448276 | Lift: 1.5498524745309805
{'physician-fee-freeze=n', 'aid-to-nicaraguan-contras=y', 'el-salvador-aid=n'} --> {'Class Name=democrat'} | Confidence: 0.9947916666666667 | Consequent Support: 0.6137931034482759 | Support: 0.43908045977011495 | Lift: 1.6207279962546817
{'physician-fee-freeze=n', 'aid-to-nicaraguan-contras=y', 'Class Name=democrat'} --> {'el-salvador-aid=n'} | Confidence: 0.9095238095238095 | Consequent Support: 0.4781609195402299 | Support: 0.43908045977011495 | Lift: 1.902129120879121
{'Class Name=democrat', 'aid-to-nicaraguan-contras=y', 'el-salvador-aid=n'} --> {'physician-fee-freeze=n'} | Confidence: 0.9695431472081218 | Consequent Support: 0.5678160919540229 | Support: 0.43908045977011495 | Lift: 1.7074950163381903
{'physician-fee-freeze=n', 'el-salvador-aid=n', 'Class Name=democrat'} --> {'aid-to-nicaraguan-contras=y'} | Confidence: 0.9845360824742267 | Consequent Support: 0.5563218390804597 | Support: 0.43908045977011495 | Lift: 1.7697239499020192
{'physician-fee-freeze=n', 'aid-to-nicaraguan-contras=y'} --> {'el-salvador-aid=n', 'Class Name=democrat'} | Confidence: 0.9052132701421801 | Consequent Support: 0.45977011494252873 | Support: 0.43908045977011495 | Lift: 1.9688388625592417
{'aid-to-nicaraguan-contras=y', 'el-salvador-aid=n'} --> {'physician-fee-freeze=n', 'Class Name=democrat'} | Confidence: 0.9362745098039216 | Consequent Support: 0.5632183908045977 | Support: 0.43908045977011495 | Lift: 1.6623649459783914
{'physician-fee-freeze=n', 'el-salvador-aid=n'} --> {'aid-to-nicaraguan-contras=y', 'Class Name=democrat'} | Confidence: 0.9794871794871794 | Consequent Support: 0.5011494252873563 | Support: 0.43908045977011495 | Lift: 1.9544812985179958
{'el-salvador-aid=n', 'Class Name=democrat'} --> {'physician-fee-freeze=n', 'aid-to-nicaraguan-contras=y'} | Confidence: 0.9550000000000001 | Consequent Support: 0.4850574712643678 | Support: 0.43908045977011495 | Lift: 1.968838862559242
{'el-salvador-aid=n'} --> {'physician-fee-freeze=n', 'aid-to-nicaraguan-contras=y', 'Class Name=democrat'} | Confidence: 0.9182692307692308 | Consequent Support: 0.4827586206896552 | Support: 0.43908045977011495 | Lift: 1.902129120879121
{'anti-satellite-test-ban=y', 'Class Name=democrat'} --> {'aid-to-nicaraguan-contras=y'} | Confidence: 0.945 | Consequent Support: 0.5563218390804597 | Support: 0.43448275862068964 | Lift: 1.6986570247933885
{'mx-missile=n'} --> {'religious-groups-in-schools=y'} | Confidence: 0.9126213592233009 | Consequent Support: 0.6252873563218391 | Support: 0.432183908045977 | Lift: 1.4595231296402056
{'el-salvador-aid=n'} --> {'adoption-of-the-budget-resolution=y'} | Confidence: 0.9038461538461539 | Consequent Support: 0.5816091954022988 | Support: 0.432183908045977 | Lift: 1.554043782304652
{'el-salvador-aid=n'} --> {'anti-satellite-test-ban=y'} | Confidence: 0.9038461538461539 | Consequent Support: 0.5494252873563218 | Support: 0.432183908045977 | Lift: 1.6450756356614098
{'mx-missile=y'} --> {'Class Name=democrat'} | Confidence: 0.9082125603864734 | Consequent Support: 0.6137931034482759 | Support: 0.432183908045977 | Lift: 1.4796721489442544
{'adoption-of-the-budget-resolution=y', 'anti-satellite-test-ban=y'} --> {'aid-to-nicaraguan-contras=y'} | Confidence: 0.9303482587064678 | Consequent Support: 0.5563218390804597 | Support: 0.4298850574712644 | Lift: 1.6723202170963367
{'education-spending=n', 'aid-to-nicaraguan-contras=y'} --> {'Class Name=democrat'} | Confidence: 0.9587628865979382 | Consequent Support: 0.6137931034482759 | Support: 0.42758620689655175 | Lift: 1.562029421985405
{'physician-fee-freeze=n', 'education-spending=n'} --> {'adoption-of-the-budget-resolution=y'} | Confidence: 0.9207920792079208 | Consequent Support: 0.5816091954022988 | Support: 0.42758620689655175 | Lift: 1.5831800571361485
{'education-spending=n', 'adoption-of-the-budget-resolution=y'} --> {'physician-fee-freeze=n'} | Confidence: 0.9253731343283583 | Consequent Support: 0.5678160919540229 | Support: 0.42758620689655175 | Lift: 1.6297057224001454
{'aid-to-nicaraguan-contras=y', 'el-salvador-aid=n'} --> {'adoption-of-the-budget-resolution=y'} | Confidence: 0.911764705882353 | Consequent Support: 0.5816091954022988 | Support: 0.42758620689655175 | Lift: 1.5676586840269706
{'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n'} --> {'aid-to-nicaraguan-contras=y'} | Confidence: 0.9893617021276596 | Consequent Support: 0.5563218390804597 | Support: 0.42758620689655175 | Lift: 1.7783981009319503
{'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y', 'education-spending=n'} --> {'Class Name=democrat'} | Confidence: 1.0 | Consequent Support: 0.6137931034482759 | Support: 0.42758620689655175 | Lift: 1.6292134831460674
{'physician-fee-freeze=n', 'education-spending=n', 'Class Name=democrat'} --> {'adoption-of-the-budget-resolution=y'} | Confidence: 0.9253731343283583 | Consequent Support: 0.5816091954022988 | Support: 0.42758620689655175 | Lift: 1.5910565748333434
{'education-spending=n', 'adoption-of-the-budget-resolution=y', 'Class Name=democrat'} --> {'physician-fee-freeze=n'} | Confidence: 0.9687500000000001 | Consequent Support: 0.5678160919540229 | Support: 0.42758620689655175 | Lift: 1.706098178137652
{'physician-fee-freeze=n', 'education-spending=n'} --> {'adoption-of-the-budget-resolution=y', 'Class Name=democrat'} | Confidence: 0.9207920792079208 | Consequent Support: 0.5310344827586206 | Support: 0.42758620689655175 | Lift: 1.7339591101967342
{'education-spending=n', 'adoption-of-the-budget-resolution=y'} --> {'physician-fee-freeze=n', 'Class Name=democrat'} | Confidence: 0.9253731343283583 | Consequent Support: 0.5632183908045977 | Support: 0.42758620689655175 | Lift: 1.6430094425830035
{'physician-fee-freeze=n', 'anti-satellite-test-ban=y'} --> {'aid-to-nicaraguan-contras=y'} | Confidence: 0.9390862944162437 | Consequent Support: 0.5563218390804597 | Support: 0.42528735632183906 | Lift: 1.6880270168225868
{'adoption-of-the-budget-resolution=y', 'anti-satellite-test-ban=y'} --> {'Class Name=democrat'} | Confidence: 0.9154228855721394 | Consequent Support: 0.6137931034482759 | Support: 0.42298850574712643 | Lift: 1.491419307954609
{'anti-satellite-test-ban=y', 'Class Name=democrat'} --> {'adoption-of-the-budget-resolution=y'} | Confidence: 0.92 | Consequent Support: 0.5816091954022988 | Support: 0.42298850574712643 | Lift: 1.581818181818182
{'physician-fee-freeze=n', 'anti-satellite-test-ban=y', 'aid-to-nicaraguan-contras=y'} --> {'Class Name=democrat'} | Confidence: 0.9945945945945946 | Consequent Support: 0.6137931034482759 | Support: 0.42298850574712643 | Lift: 1.6204069237777103
{'physician-fee-freeze=n', 'anti-satellite-test-ban=y', 'Class Name=democrat'} --> {'aid-to-nicaraguan-contras=y'} | Confidence: 0.9435897435897436 | Consequent Support: 0.5563218390804597 | Support: 0.42298850574712643 | Lift: 1.6961220597584235
{'anti-satellite-test-ban=y', 'aid-to-nicaraguan-contras=y', 'Class Name=democrat'} --> {'physician-fee-freeze=n'} | Confidence: 0.9735449735449736 | Consequent Support: 0.5678160919540229 | Support: 0.42298850574712643 | Lift: 1.7145427671743463
{'physician-fee-freeze=n', 'anti-satellite-test-ban=y'} --> {'aid-to-nicaraguan-contras=y', 'Class Name=democrat'} | Confidence: 0.934010152284264 | Consequent Support: 0.5011494252873563 | Support: 0.42298850574712643 | Lift: 1.863735854328692
{'anti-satellite-test-ban=y', 'Class Name=democrat'} --> {'physician-fee-freeze=n', 'aid-to-nicaraguan-contras=y'} | Confidence: 0.92 | Consequent Support: 0.4850574712643678 | Support: 0.42298850574712643 | Lift: 1.8966824644549765
{'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n'} --> {'Class Name=democrat'} | Confidence: 0.9787234042553191 | Consequent Support: 0.6137931034482759 | Support: 0.42298850574712643 | Lift: 1.594549366483385
{'el-salvador-aid=n', 'Class Name=democrat'} --> {'adoption-of-the-budget-resolution=y'} | Confidence: 0.92 | Consequent Support: 0.5816091954022988 | Support: 0.42298850574712643 | Lift: 1.581818181818182
{'aid-to-nicaraguan-contras=y', 'el-salvador-aid=n'} --> {'anti-satellite-test-ban=y'} | Confidence: 0.9019607843137255 | Consequent Support: 0.5494252873563218 | Support: 0.42298850574712643 | Lift: 1.6416441053408812
{'anti-satellite-test-ban=y', 'el-salvador-aid=n'} --> {'aid-to-nicaraguan-contras=y'} | Confidence: 0.9787234042553191 | Consequent Support: 0.5563218390804597 | Support: 0.42298850574712643 | Lift: 1.7592755407068754
{'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y', 'anti-satellite-test-ban=y'} --> {'Class Name=democrat'} | Confidence: 1.0 | Consequent Support: 0.6137931034482759 | Support: 0.41839080459770117 | Lift: 1.6292134831460674
{'physician-fee-freeze=n', 'anti-satellite-test-ban=y', 'Class Name=democrat'} --> {'adoption-of-the-budget-resolution=y'} | Confidence: 0.9333333333333333 | Consequent Support: 0.5816091954022988 | Support: 0.41839080459770117 | Lift: 1.6047430830039526
{'adoption-of-the-budget-resolution=y', 'anti-satellite-test-ban=y', 'Class Name=democrat'} --> {'physician-fee-freeze=n'} | Confidence: 0.9891304347826088 | Consequent Support: 0.5678160919540229 | Support: 0.41839080459770117 | Lift: 1.7419908466819225
{'physician-fee-freeze=n', 'anti-satellite-test-ban=y'} --> {'adoption-of-the-budget-resolution=y', 'Class Name=democrat'} | Confidence: 0.9238578680203047 | Consequent Support: 0.5310344827586206 | Support: 0.41839080459770117 | Lift: 1.739732348869405
{'adoption-of-the-budget-resolution=y', 'anti-satellite-test-ban=y'} --> {'physician-fee-freeze=n', 'Class Name=democrat'} | Confidence: 0.9054726368159205 | Consequent Support: 0.5632183908045977 | Support: 0.41839080459770117 | Lift: 1.6076759061833692
{'anti-satellite-test-ban=y', 'Class Name=democrat'} --> {'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y'} | Confidence: 0.91 | Consequent Support: 0.503448275862069 | Support: 0.41839080459770117 | Lift: 1.8075342465753426
{'adoption-of-the-budget-resolution=y', 'aid-to-nicaraguan-contras=y', 'el-salvador-aid=n'} --> {'Class Name=democrat'} | Confidence: 0.978494623655914 | Consequent Support: 0.6137931034482759 | Support: 0.41839080459770117 | Lift: 1.594176634046152
{'Class Name=democrat', 'aid-to-nicaraguan-contras=y', 'el-salvador-aid=n'} --> {'adoption-of-the-budget-resolution=y'} | Confidence: 0.9238578680203047 | Consequent Support: 0.5816091954022988 | Support: 0.41839080459770117 | Lift: 1.5884512750546742
{'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n', 'Class Name=democrat'} --> {'aid-to-nicaraguan-contras=y'} | Confidence: 0.9891304347826088 | Consequent Support: 0.5563218390804597 | Support: 0.41839080459770117 | Lift: 1.7779823931009704
{'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n'} --> {'aid-to-nicaraguan-contras=y', 'Class Name=democrat'} | Confidence: 0.9680851063829787 | Consequent Support: 0.5011494252873563 | Support: 0.41839080459770117 | Lift: 1.9317294553972284
{'el-salvador-aid=n', 'Class Name=democrat'} --> {'adoption-of-the-budget-resolution=y', 'aid-to-nicaraguan-contras=y'} | Confidence: 0.91 | Consequent Support: 0.4942528735632184 | Support: 0.41839080459770117 | Lift: 1.8411627906976744
{'physician-fee-freeze=n', 'anti-satellite-test-ban=y'} --> {'adoption-of-the-budget-resolution=y'} | Confidence: 0.9238578680203047 | Consequent Support: 0.5816091954022988 | Support: 0.41839080459770117 | Lift: 1.5884512750546742
{'adoption-of-the-budget-resolution=y', 'anti-satellite-test-ban=y'} --> {'physician-fee-freeze=n'} | Confidence: 0.9054726368159205 | Consequent Support: 0.5678160919540229 | Support: 0.41839080459770117 | Lift: 1.5946582875098196
{'anti-satellite-test-ban=y', 'el-salvador-aid=n'} --> {'Class Name=democrat'} | Confidence: 0.9680851063829787 | Consequent Support: 0.6137931034482759 | Support: 0.41839080459770117 | Lift: 1.577217308152044
{'anti-satellite-test-ban=y', 'Class Name=democrat'} --> {'el-salvador-aid=n'} | Confidence: 0.91 | Consequent Support: 0.4781609195402299 | Support: 0.41839080459770117 | Lift: 1.9031250000000002
{'el-salvador-aid=n', 'Class Name=democrat'} --> {'anti-satellite-test-ban=y'} | Confidence: 0.91 | Consequent Support: 0.5494252873563218 | Support: 0.41839080459770117 | Lift: 1.6562761506276154
{'education-spending=n', 'aid-to-nicaraguan-contras=y'} --> {'physician-fee-freeze=n'} | Confidence: 0.9329896907216494 | Consequent Support: 0.5678160919540229 | Support: 0.4160919540229885 | Lift: 1.6431194958053341
{'physician-fee-freeze=n', 'el-salvador-aid=n'} --> {'adoption-of-the-budget-resolution=y'} | Confidence: 0.9282051282051281 | Consequent Support: 0.5816091954022988 | Support: 0.4160919540229885 | Lift: 1.5959258133171177
{'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n'} --> {'physician-fee-freeze=n'} | Confidence: 0.9627659574468085 | Consequent Support: 0.5678160919540229 | Support: 0.4160919540229885 | Lift: 1.695559479714015
{'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n'} --> {'Class Name=democrat'} | Confidence: 1.0 | Consequent Support: 0.6137931034482759 | Support: 0.4160919540229885 | Lift: 1.6292134831460674
{'physician-fee-freeze=n', 'el-salvador-aid=n', 'Class Name=democrat'} --> {'adoption-of-the-budget-resolution=y'} | Confidence: 0.9329896907216494 | Consequent Support: 0.5816091954022988 | Support: 0.4160919540229885 | Lift: 1.604152235035247
{'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n', 'Class Name=democrat'} --> {'physician-fee-freeze=n'} | Confidence: 0.983695652173913 | Consequent Support: 0.5678160919540229 | Support: 0.4160919540229885 | Lift: 1.7324194684034502
{'physician-fee-freeze=n', 'el-salvador-aid=n'} --> {'adoption-of-the-budget-resolution=y', 'Class Name=democrat'} | Confidence: 0.9282051282051281 | Consequent Support: 0.5310344827586206 | Support: 0.4160919540229885 | Lift: 1.747918747918748
{'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n'} --> {'physician-fee-freeze=n', 'Class Name=democrat'} | Confidence: 0.9627659574468085 | Consequent Support: 0.5632183908045977 | Support: 0.4160919540229885 | Lift: 1.7094007815892314
{'el-salvador-aid=n', 'Class Name=democrat'} --> {'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y'} | Confidence: 0.9049999999999999 | Consequent Support: 0.503448275862069 | Support: 0.4160919540229885 | Lift: 1.7976027397260272
{'religious-groups-in-schools=y', 'el-salvador-aid=y'} --> {'crime=y'} | Confidence: 0.9137055837563453 | Consequent Support: 0.5701149425287356 | Support: 0.41379310344827586 | Lift: 1.602669068282299
{'el-salvador-aid=y', 'crime=y'} --> {'religious-groups-in-schools=y'} | Confidence: 0.9278350515463917 | Consequent Support: 0.6252873563218391 | Support: 0.41379310344827586 | Lift: 1.4838538508186778
{'physician-fee-freeze=n', 'education-spending=n', 'aid-to-nicaraguan-contras=y'} --> {'Class Name=democrat'} | Confidence: 0.994475138121547 | Consequent Support: 0.6137931034482759 | Support: 0.41379310344827586 | Lift: 1.620212303681172
{'education-spending=n', 'aid-to-nicaraguan-contras=y', 'Class Name=democrat'} --> {'physician-fee-freeze=n'} | Confidence: 0.9677419354838709 | Consequent Support: 0.5678160919540229 | Support: 0.41379310344827586 | Lift: 1.7043228418440644
{'education-spending=n', 'aid-to-nicaraguan-contras=y'} --> {'physician-fee-freeze=n', 'Class Name=democrat'} | Confidence: 0.9278350515463917 | Consequent Support: 0.5632183908045977 | Support: 0.41379310344827586 | Lift: 1.6473806017252262
{'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y', 'aid-to-nicaraguan-contras=y', 'el-salvador-aid=n'} --> {'Class Name=democrat'} | Confidence: 1.0 | Consequent Support: 0.6137931034482759 | Support: 0.4114942528735632 | Lift: 1.6292134831460674
{'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y', 'aid-to-nicaraguan-contras=y', 'Class Name=democrat'} --> {'el-salvador-aid=n'} | Confidence: 0.904040404040404 | Consequent Support: 0.4781609195402299 | Support: 0.4114942528735632 | Lift: 1.8906614219114217
{'physician-fee-freeze=n', 'Class Name=democrat', 'aid-to-nicaraguan-contras=y', 'el-salvador-aid=n'} --> {'adoption-of-the-budget-resolution=y'} | Confidence: 0.93717277486911 | Consequent Support: 0.5816091954022988 | Support: 0.4114942528735632 | Lift: 1.6113444943401694
{'Class Name=democrat', 'adoption-of-the-budget-resolution=y', 'aid-to-nicaraguan-contras=y', 'el-salvador-aid=n'} --> {'physician-fee-freeze=n'} | Confidence: 0.9835164835164835 | Consequent Support: 0.5678160919540229 | Support: 0.4114942528735632 | Lift: 1.7321039284602038
{'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n', 'Class Name=democrat'} --> {'aid-to-nicaraguan-contras=y'} | Confidence: 0.988950276243094 | Consequent Support: 0.5563218390804597 | Support: 0.4114942528735632 | Lift: 1.7776585544039087
{'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y', 'aid-to-nicaraguan-contras=y'} --> {'el-salvador-aid=n', 'Class Name=democrat'} | Confidence: 0.904040404040404 | Consequent Support: 0.45977011494252873 | Support: 0.4114942528735632 | Lift: 1.9662878787878786
{'physician-fee-freeze=n', 'aid-to-nicaraguan-contras=y', 'el-salvador-aid=n'} --> {'adoption-of-the-budget-resolution=y', 'Class Name=democrat'} | Confidence: 0.9322916666666667 | Consequent Support: 0.5310344827586206 | Support: 0.4114942528735632 | Lift: 1.7556141774891778
{'adoption-of-the-budget-resolution=y', 'aid-to-nicaraguan-contras=y', 'el-salvador-aid=n'} --> {'physician-fee-freeze=n', 'Class Name=democrat'} | Confidence: 0.9623655913978494 | Consequent Support: 0.5632183908045977 | Support: 0.4114942528735632 | Lift: 1.7086899275839367
